usernum	cond	timestamp	leftright	order	expected	choice
46	target_f1_5	12/18/2020 00:28:08.219	1	1	either	big_toe
46	filler_b_a	12/18/2020 00:28:12.797	0	2	back	back
46	target_h1_5	12/18/2020 00:28:26.602	1	3	either	pinky

46	filler_b_b	12/18/2020 00:28:37.394	0	4	either	back
46	filler_l_l	12/18/2020 00:28:39.573	1	5	either	leg_calf
46	filler_a_a	12/18/2020 00:28:43.316	0	6	either	arm_shoulder

46	target_f4_5	12/18/2020 00:28:47.048	0	7	either	ring_toe
46	filler_a_l	12/18/2020 00:28:50.249	0	8	arm_shoulder	arm_shoulder
46	target_h1_4	12/18/2020 00:28:52.967	1	9	either	ring_finger

46	filler_l_b	12/18/2020 00:28:55.597	1	10	leg_knee	leg_knee
46	target_h4_5	12/18/2020 00:28:59.118	1	11	either	pinky

46	target_f1_4	12/18/2020 00:29:02.719	0	12	either	big_toe
47	filler_a_a	12/18/2020 00:48:43.596	0	1	either	arm_shoulder

47	target_h1_4	12/18/2020 00:48:50.419	0	2	either	thumb
47	filler_b_b	12/18/2020 00:48:58.663	0	3	either	back
47	target_f4_5	12/18/2020 00:49:06.371	0	4	either	ring_toe
47	target_h4_5	12/18/2020 00:49:13.042	0	5	either	ring_finger
47	filler_a_l	12/18/2020 00:49:18.785	0	6	arm_shoulder	arm_shoulder
47	target_h1_5	12/18/2020 00:49:28.710	1	7	either	thumb
47	filler_l_b	12/18/2020 00:49:32.647	0	8	leg_knee	leg_knee
47	target_f1_5	12/18/2020 00:49:40.264	0	9	either	big_toe
47	target_f1_4	12/18/2020 00:49:43.568	1	10	either	big_toe
47	filler_l_l	12/18/2020 00:49:49.096	1	11	either	leg_calf
47	filler_b_a	12/18/2020 00:49:51.719	0	12	back	back
48	filler_l_b	12/18/2020 00:56:58.846	1	1	leg_knee	leg_knee
48	filler_a_l	12/18/2020 00:57:01.449	1	2	arm_shoulder	arm_shoulder
48	filler_b_b	12/18/2020 00:57:05.907	0	3	either	back
48	target_h4_5	12/18/2020 00:57:16.208	1	4	either	ring_finger
48	target_f4_5	12/18/2020 00:57:21.871	0	5	either	ring_toe
48	filler_b_a	12/18/2020 00:57:25.593	1	6	back	back
48	target_f1_4	12/18/2020 00:57:29.052	1	7	either	big_toe
48	target_f1_5	12/18/2020 00:57:32.752	1	8	either	big_toe
48	filler_l_l	12/18/2020 00:57:37.692	0	9	either	leg_knee

48	target_h1_5	12/18/2020 00:57:41.889	1	10	either	thumb
48	filler_a_a	12/18/2020 00:57:47.334	1	11	either	arm_shoulder

48	target_h1_4	12/18/2020 00:57:54.185	0	12	either	ring_finger

