"Timestamp"	"participant.id"	"Consent"	"Condition"	"Response"	"Normal_Utt_latinized_first"	"Normal_Utt_latinized"	"Normal_Utt"	"Normal_Utt_gloss"	"Back_translation"	"Specificity"	"Directionality"
"12/11/2020 4:50:38"	"f2a77dc5e788cae54f3c2375"	"أوافق"	"target_h1"	"اصبع يدها الكبير"	"isba' yad alkabeer"	"iṣba' yad alkabīr"	"اصبع يد الكبير"	"big finger of the hand"	"thumb"	1	0
"12/11/2020 2:49:50"	"c0d12abf3462b8f50896a9c5"	"أوافق"	"target_f1"	"اصبع رجلها الكبير"	"isba' rijul alkabeer"	"iṣba' rijul alkabīr"	"اصبع رجل الكبير"	"big finger of the leg"	"big toe"	1	0
"12/10/2020 16:53:33"	"60d368edc2d9c6f519a65b26"	"أوافق"	"target_f1"	"اصبع رجلها الكبير"	"isba' rijul alkabeer"	"iṣba' rijul alkabīr"	"اصبع رجل الكبير"	"big finger of the leg"	"big toe"	1	0
"12/10/2020 13:44:36"	"613e7a23495bbfe5827ebcc5"	"أوافق"	"target_f4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 15:19:04"	"539551cd48578ce5793949d1"	"أوافق"	"target_f4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 15:24:31"	"319f381c3de482f58e752de9"	"أوافق"	"target_f4"	"اصبعها"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 13:19:45"	"f093fc6ace7006f536a92c21"	"أوافق"	"target_h4"	"اصبعهة"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 13:44:36"	"613e7a23495bbfe5827ebcc5"	"أوافق"	"target_h4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 13:56:49"	"d4ec1021c72fe9f5ade6ed63"	"أوافق"	"target_h4"	"اصبعها"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 15:19:04"	"539551cd48578ce5793949d1"	"أوافق"	"target_h4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 16:09:18"	"4028cb6d611988f59851ed1b"	"أوافق"	"target_h4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 16:53:33"	"60d368edc2d9c6f519a65b26"	"أوافق"	"target_h4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
"12/10/2020 17:58:50"	"e6224e8a386b1bf536b0b484"	"أوافق"	"target_h4"	"اصبع"	"isba'"	"iṣba'"	"اصبع"	"finger"	"finger"	0	0
