usernum	cond	timestamp	leftright	order	expected	choice
193	filler_b_a	09/15/2021 16:39:03.148	0	1	back	back
193	filler_a_a	09/15/2021 16:39:07.451	1	2	either	arm_shoulder
193	target_h4_5	09/15/2021 16:39:15.347	1	3	either	pinky
193	filler_b_b	09/15/2021 16:39:20.662	1	4	either	back_shoulder
193	filler_l_l	09/15/2021 16:39:26.868	0	5	either	leg_knee
193	filler_l_b	09/15/2021 16:39:29.455	0	6	leg	leg_knee
193	filler_a_l	09/15/2021 16:39:31.735	0	7	arm	arm_shoulder
193	target_f1_5	09/15/2021 16:39:41.365	1	8	either	pinky_toe
193	target_h1_4	09/15/2021 16:39:44.087	1	9	either	ring_finger
193	target_f4_5	09/15/2021 16:39:48.092	0	10	either	ring_toe
193	target_h1_5	09/15/2021 16:39:50.102	0	11	either	pinky
193	target_f1_4	09/15/2021 16:39:52.008	1	12	either	ring_toe
198	filler_l_b	09/15/2021 16:45:17.452	0	1	leg	leg_knee
198	filler_l_l	09/15/2021 16:45:20.593	1	2	either	leg_knee
198	filler_a_l	09/15/2021 16:45:23.237	0	3	arm	arm_shoulder
198	filler_b_a	09/15/2021 16:45:26.399	0	4	back	back
198	target_h1_4	09/15/2021 16:45:30.939	1	5	either	ring_finger
198	target_f1_4	09/15/2021 16:45:35.986	0	6	either	ring_toe
198	target_f1_5	09/15/2021 16:45:40.844	0	7	either	big_toe
198	target_h1_5	09/15/2021 16:45:46.662	1	8	either	pinky
198	target_f4_5	09/15/2021 16:45:48.846	0	9	either	ring_toe
198	target_h4_5	09/15/2021 16:45:54.671	0	10	either	pinky
198	filler_b_b	09/15/2021 16:45:58.421	0	11	either	back_shoulder
198	filler_a_a	09/15/2021 16:46:01.618	0	12	either	arm_shoulder
199	filler_a_a	09/15/2021 16:45:27.926	0	1	either	arm_shoulder
199	target_h1_4	09/15/2021 16:45:31.920	1	2	either	ring_finger
199	target_f4_5	09/15/2021 16:45:35.209	0	3	either	ring_toe
199	filler_b_b	09/15/2021 16:45:39.515	1	4	either	back
199	target_h1_5	09/15/2021 16:45:42.253	1	5	either	pinky
199	target_h4_5	09/15/2021 16:45:46.948	1	6	either	pinky
199	filler_a_l	09/15/2021 16:45:51.926	0	7	arm	arm_shoulder
199	filler_l_l	09/15/2021 16:45:55.888	1	8	either	leg_calf
199	filler_b_a	09/15/2021 16:45:57.961	0	9	back	back
199	filler_l_b	09/15/2021 16:45:59.909	0	10	leg	leg_knee
199	target_f1_4	09/15/2021 16:46:02.996	0	11	either	big_toe
199	target_f1_5	09/15/2021 16:46:06.867	1	12	either	pinky_toe
201	target_f4_5	09/15/2021 16:48:35.019	0	1	either	ring_toe
201	filler_a_l	09/15/2021 16:48:38.819	1	2	arm	arm_shoulder
201	filler_l_l	09/15/2021 16:48:42.148	0	3	either	leg_calf
201	target_h1_4	09/15/2021 16:48:46.409	0	4	either	ring_finger
201	filler_l_b	09/15/2021 16:48:48.600	0	5	leg	leg_knee
201	target_h4_5	09/15/2021 16:48:50.980	1	6	either	pinky
201	filler_b_b	09/15/2021 16:48:54.718	1	7	either	back
201	target_h1_5	09/15/2021 16:48:57.381	1	8	either	pinky
201	filler_a_a	09/15/2021 16:48:59.291	1	9	either	arm_shoulder
201	filler_b_a	09/15/2021 16:49:01.303	1	10	back	back
201	target_f1_4	09/15/2021 16:49:04.724	1	11	either	ring_toe
201	target_f1_5	09/15/2021 16:49:10.310	0	12	either	pinky_toe
226	target_h1_4	09/15/2021 16:53:18.297	1	1	either	ring_finger
226	target_f1_4	09/15/2021 16:53:25.373	1	2	either	ring_toe
226	target_h4_5	09/15/2021 16:53:31.219	1	3	either	ring_finger
226	filler_l_l	09/15/2021 16:53:34.128	1	4	either	leg_calf
226	target_f4_5	09/15/2021 16:53:37.552	0	5	either	ring_toe
226	target_f1_5	09/15/2021 16:53:39.314	1	6	either	pinky_toe
226	filler_b_a	09/15/2021 16:53:41.920	1	7	back	back
226	filler_l_b	09/15/2021 16:53:43.692	1	8	leg	leg_knee
226	target_h1_5	09/15/2021 16:53:46.199	1	9	either	pinky
226	filler_a_l	09/15/2021 16:53:47.887	0	10	arm	arm_shoulder
226	filler_b_b	09/15/2021 16:53:50.994	1	11	either	back
226	filler_a_a	09/15/2021 16:53:53.208	0	12	either	arm_shoulder
275	filler_l_b	09/15/2021 16:59:34.640	1	1	leg	leg_knee
275	filler_b_a	09/15/2021 16:59:36.727	1	2	back	back
275	filler_l_l	09/15/2021 16:59:45.469	1	3	either	leg_calf
275	filler_a_a	09/15/2021 16:59:48.248	0	4	either	arm_shoulder
275	target_f1_4	09/15/2021 16:59:52.192	1	5	either	big_toe
275	filler_a_l	09/15/2021 16:59:54.726	0	6	arm	arm_shoulder
275	target_h4_5	09/15/2021 17:00:06.300	0	7	either	pinky
275	target_h1_4	09/15/2021 17:00:10.627	1	8	either	thumb
275	target_h1_5	09/15/2021 17:00:46.275	1	9	either	pinky
275	target_h1_5	09/15/2021 17:00:46.409	1	9	either	pinky
275	target_h1_5	09/15/2021 17:00:47.023	1	9	either	pinky
275	target_h1_5	09/15/2021 17:00:47.377	1	9	either	pinky
275	target_h1_5	09/15/2021 17:00:48.117	1	9	either	thumb
275	target_f1_5	09/15/2021 17:00:52.618	0	10	either	big_toe
275	target_f4_5	09/15/2021 17:00:58.284	0	11	either	ring_toe
275	filler_b_b	09/15/2021 17:01:02.178	1	12	either	back
276	filler_a_l	09/15/2021 16:59:38.229	1	1	arm	arm_shoulder
276	target_h4_5	09/15/2021 16:59:52.778	0	2	either	pinky
276	filler_b_a	09/15/2021 16:59:55.269	1	3	back	back
276	target_f4_5	09/15/2021 17:00:02.266	0	4	either	pinky_toe
276	filler_a_a	09/15/2021 17:00:04.801	0	5	either	arm_shoulder
276	filler_l_b	09/15/2021 17:00:07.021	1	6	leg	leg_knee
276	filler_l_l	09/15/2021 17:00:09.105	0	7	either	leg_calf
276	target_h1_5	09/15/2021 17:00:13.201	0	8	either	thumb
276	target_f1_4	09/15/2021 17:00:18.547	0	9	either	big_toe
276	target_h1_4	09/15/2021 17:00:20.901	0	10	either	ring_finger
276	target_f1_5	09/15/2021 17:00:23.880	1	11	either	big_toe
276	filler_b_b	09/15/2021 17:00:27.860	1	12	either	back
282	filler_l_b	09/15/2021 17:00:54.821	0	1	leg	leg_knee
282	filler_b_a	09/15/2021 17:01:05.730	1	2	back	back
282	target_h1_5	09/15/2021 17:01:21.229	0	3	either	pinky
282	target_h1_4	09/15/2021 17:01:29.348	0	4	either	thumb
282	filler_a_a	09/15/2021 17:01:41.188	0	5	either	arm_shoulder
282	filler_b_b	09/15/2021 17:01:48.312	0	6	either	back
282	target_f1_5	09/15/2021 17:01:55.264	0	7	either	pinky_toe
282	target_f1_4	09/15/2021 17:02:00.204	0	8	either	ring_toe
282	target_f4_5	09/15/2021 17:02:07.284	1	9	either	pinky_toe
282	filler_a_l	09/15/2021 17:02:11.324	1	10	arm	arm_shoulder
282	target_h4_5	09/15/2021 17:02:15.440	1	11	either	pinky
282	filler_l_l	09/15/2021 17:02:22.236	0	12	either	leg_knee
290	filler_l_l	09/15/2021 17:00:59.141	0	1	either	leg_knee
290	target_f1_4	09/15/2021 17:01:02.265	1	2	either	big_toe
290	target_f4_5	09/15/2021 17:01:05.005	0	3	either	ring_toe
290	filler_b_b	09/15/2021 17:01:07.192	1	4	either	back_shoulder
290	target_h4_5	09/15/2021 17:01:09.471	1	5	either	ring_finger
290	filler_a_a	09/15/2021 17:01:11.650	0	6	either	arm_shoulder
290	filler_l_b	09/15/2021 17:01:13.600	0	7	leg	leg_knee
290	target_h1_4	09/15/2021 17:01:14.967	0	8	either	ring_finger
290	filler_a_l	09/15/2021 17:01:16.319	1	9	arm	arm_shoulder
290	filler_b_a	09/15/2021 17:01:17.922	0	10	back	back
290	target_h1_5	09/15/2021 17:01:19.972	1	11	either	thumb
290	target_f1_5	09/15/2021 17:01:21.267	1	12	either	big_toe
298	filler_a_a	09/15/2021 17:03:40.021	0	1	either	arm_shoulder
298	filler_l_b	09/15/2021 17:03:42.404	0	2	leg	leg_knee
298	target_f4_5	09/15/2021 17:03:45.733	0	3	either	ring_toe
