usernum	cond	timestamp	leftright	order	expected	choice
100	target_f1_5	12/13/2019 10:30:59.574	0	1	either	pinky_toe
100	target_f4_5	12/13/2019 10:31:03.823	1	2	either	ring_toe
100	target_f1_4	12/13/2019 10:31:05.526	0	3	either	ring_toe
100	target_h4_5	12/13/2019 10:31:07.626	1	4	either	ring_finger
100	filler_b_b	12/13/2019 10:31:10.254	0	5	either	back
100	filler_l_l	12/13/2019 10:31:12.914	0	6	either	leg_calf
100	target_h1_5	12/13/2019 10:31:15.923	1	7	either	thumb
100	target_h1_4	12/13/2019 10:31:17.905	0	8	either	ring_finger
100	filler_l_b	12/13/2019 10:31:20.102	0	9	leg	back_shoulder
100	filler_b_a	12/13/2019 10:31:22.062	1	10	back	back
100	filler_a_a	12/13/2019 10:31:24.075	0	11	either	arm_shoulder
100	filler_a_l	12/13/2019 10:31:25.809	1	12	arm	arm_shoulder
101	target_f1_5	12/13/2019 10:32:46.460	0	1	either	big_toe
101	target_f1_4	12/13/2019 10:32:55.022	1	2	either	big_toe
101	filler_b_b	12/13/2019 10:33:00.058	0	3	either	back
101	filler_l_l	12/13/2019 10:33:04.492	0	4	either	leg_calf
101	filler_b_a	12/13/2019 10:33:10.407	1	5	back	back
101	target_h4_5	12/13/2019 10:33:16.430	0	6	either	pinky
101	filler_a_l	12/13/2019 10:33:19.251	1	7	arm	arm_shoulder
101	target_h1_5	12/13/2019 10:33:23.877	1	8	either	thumb
101	target_h1_4	12/13/2019 10:33:28.378	1	9	either	thumb
101	target_f4_5	12/13/2019 10:33:31.786	1	10	either	ring_toe
101	filler_l_b	12/13/2019 10:33:34.820	0	11	leg	leg_knee
101	filler_a_a	12/13/2019 10:33:37.852	1	12	either	arm_shoulder
102	filler_a_a	12/13/2019 10:32:54.383	1	1	either	arm_shoulder
102	filler_b_b	12/13/2019 10:32:58.198	0	2	either	back
102	filler_l_b	12/13/2019 10:33:00.742	1	3	leg	leg_knee
102	target_h1_5	12/13/2019 10:33:03.431	1	4	either	pinky
102	target_f1_5	12/13/2019 10:33:07.104	1	5	either	big_toe
102	filler_b_a	12/13/2019 10:33:08.766	0	6	back	back
102	filler_a_l	12/13/2019 10:33:10.317	0	7	arm	arm_shoulder
102	target_h4_5	12/13/2019 10:33:12.854	1	8	either	ring_finger
102	target_f1_4	12/13/2019 10:33:14.810	0	9	either	ring_toe
102	filler_l_l	12/13/2019 10:33:17.558	1	10	either	leg_calf
102	target_h1_4	12/13/2019 10:33:20.961	1	11	either	ring_finger
102	target_f4_5	12/13/2019 10:33:22.418	1	12	either	pinky_toe
103	target_f4_5	12/13/2019 10:33:39.973	1	1	either	ring_toe
103	target_h1_5	12/13/2019 10:33:43.760	1	2	either	pinky
103	target_h1_4	12/13/2019 10:33:55.253	0	3	either	thumb
103	filler_a_l	12/13/2019 10:33:58.640	0	4	arm	arm_shoulder
103	filler_l_l	12/13/2019 10:34:02.068	0	5	either	leg_calf
