Timestamp,Prolific ID,Consent,Version,Target_H1_4,Filler_A_A,Target_F4_5,Filler_B_B,Filler_L_L,Target_F1_5,Filler_A_L,Filler_B_A,Target_F1_4,Target_H4_5,Target_H1_5,Filler_L_B
11/19/19 14:37,5c3a958d48ad2900017f6817,I agree,2,1,4,4,5,2,4,7,7,4,4,6,7
11/19/19 14:38,5dcc5fee28e3148e8009491e,I agree,2,4,4,4,5,4,4,7,7,4,4,4,7
11/19/19 14:39,5bfb23fbe2562a0001ce1aab,I agree,2,7,1,1,4,6,7,7,7,2,1,7,7
11/19/19 14:39,5dd31e5757534733c97b1fde,I agree,2,3,4,4,4,4,4,7,7,4,4,5,7
11/19/19 14:39,5c71d5f2cf5c4b000197c584,I agree,2,3,6,4,4,4,4,7,7,4,4,4,7
11/19/19 14:40,5dc391dd84b4cf2969301fa7,I agree,2,4,4,4,4,3,4,7,7,4,4,4,7
11/19/19 14:40,5dd2441687c1fd266f9457f6,I agree,2,4,4,4,4,4,4,7,7,4,4,4,7
11/19/19 14:41,5c3631cfa05b4a0001439cca,I agree,2,1,4,4,5,4,4,7,7,4,4,6,7
11/19/19 14:41,5bdc5b74c562d50001a6bb95,I agree,2,5,3,3,2,5,6,6,7,3,3,6,7
11/19/19 14:41,59cadb5f59b379000115128d,I agree,2,2,5,6,6,2,5,7,7,2,6,5,7
11/19/19 14:41,5dd04682f85b5013bad6346b,I agree,2,3,3,4,4,4,4,7,7,4,4,5,7
11/19/19 14:42,Jwalker,I agree,2,7,7,7,1,1,7,7,7,2,7,1,1
