usernum	cond	timestamp	choice
26	filler_b_a	12/12/2019 15:36:27.087	back
26	target_h4_5	12/12/2019 15:36:30.222	ring_finger
26	target_h1_5	12/12/2019 15:36:33.784	thumb
26	target_f1_5	12/12/2019 15:36:35.612	big_toe
26	filler_a_l	12/12/2019 15:36:36.954	arm_shoulder
26	filler_l_l	12/12/2019 15:36:38.929	leg_calf
26	target_f1_4	12/12/2019 15:36:40.404	big_toe
26	filler_b_b	12/12/2019 15:36:42.163	back
26	filler_a_a	12/12/2019 15:36:48.420	arm_elbow
26	target_f4_5	12/12/2019 15:36:49.898	ring_toe
26	filler_l_b	12/12/2019 15:36:51.571	leg_knee
26	target_h1_4	12/12/2019 15:36:53.147	thumb
27	target_h1_4	12/12/2019 15:43:23.206	thumb
27	target_f4_5	12/12/2019 15:43:30.356	ring_toe
27	filler_b_a	12/12/2019 15:43:44.810	back
27	filler_b_b	12/12/2019 15:43:52.011	back
27	filler_a_l	12/12/2019 15:43:54.901	arm_shoulder
27	target_h4_5	12/12/2019 15:44:01.903	ring_finger
27	target_f1_5	12/12/2019 15:44:07.520	big_toe
27	filler_a_a	12/12/2019 15:44:11.807	arm_elbow
27	filler_l_l	12/12/2019 15:44:16.604	leg_calf
27	target_f1_4	12/12/2019 15:44:27.514	big_toe
27	filler_l_b	12/12/2019 15:44:32.470	leg_knee
27	target_h1_5	12/12/2019 15:44:36.344	thumb
28	target_f4_5	12/12/2019 15:43:30.220	ring_toe
28	target_f1_5	12/12/2019 15:43:32.728	big_toe
28	target_f4_5	12/12/2019 15:43:45.710	ring_toe
28	target_f1_5	12/12/2019 15:43:47.760	big_toe
28	filler_b_a	12/12/2019 15:43:50.132	back
28	filler_l_b	12/12/2019 15:43:52.779	leg_knee
28	filler_a_a	12/12/2019 15:43:54.245	arm_elbow
28	target_h1_5	12/12/2019 15:43:56.410	thumb
28	target_h4_5	12/12/2019 15:44:00.034	ring_finger
28	target_h1_4	12/12/2019 15:44:02.576	thumb
28	target_f1_4	12/12/2019 15:44:15.504	big_toe
28	filler_l_l	12/12/2019 15:44:17.016	leg_calf
28	filler_b_b	12/12/2019 15:44:18.395	back
28	filler_a_l	12/12/2019 15:44:20.617	arm_shoulder
29	target_f1_4	12/12/2019 15:46:15.204	big_toe
29	filler_a_a	12/12/2019 15:46:20.038	arm_elbow
29	target_f1_5	12/12/2019 15:46:22.892	big_toe
29	target_f1_5	12/12/2019 15:46:28.835	big_toe
29	target_f1_4	12/12/2019 15:48:00.499	big_toe
29	filler_a_a	12/12/2019 15:48:01.247	arm_elbow
29	target_f1_5	12/12/2019 15:48:01.909	big_toe
29	filler_b_a	12/12/2019 15:48:06.928	back
29	filler_l_b	12/12/2019 15:48:09.254	leg_knee
29	target_h1_5	12/12/2019 15:48:11.918	thumb
