usernum	cond	timestamp	leftright	order	expected	choice
21	target_h1_4	11/16/2020 21:36:29.494	1	1	either	thumb
21	filler_a_a	11/16/2020 21:36:33.794	0	2	either	arm_shoulder

21	filler_b_b	11/16/2020 21:36:37.665	0	3	either	back
21	target_f4_5	11/16/2020 21:36:43.864	1	4	either	ring_toe
21	target_f1_5	11/16/2020 21:36:49.121	1	5	either	pinky_toe

21	target_h4_5	11/16/2020 21:36:56.892	0	6	either	ring_finger
21	target_f1_4	11/16/2020 21:37:01.123	0	7	either	ring_toe

21	target_h1_5	11/16/2020 21:37:04.539	1	8	either	pinky

21	filler_l_l	11/16/2020 21:37:08.153	0	9	either	leg_calf
21	filler_l_b	11/16/2020 21:37:10.955	0	10	leg_knee	leg_knee
21	filler_a_l	11/16/2020 21:37:13.960	1	11	arm_shoulder	arm_shoulder
21	filler_b_a	11/16/2020 21:37:16.564	1	12	back	back
22	filler_b_a	11/16/2020 22:05:52.500	0	1	back	back
22	filler_a_a	11/16/2020 22:06:02.291	1	2	either	arm_shoulder

22	target_h4_5	11/16/2020 22:06:08.677	1	3	either	pinky

22	target_f4_5	11/16/2020 22:06:15.952	1	4	either	pinky_toe

22	target_f1_5	11/16/2020 22:06:19.027	0	5	either	big_toe
22	filler_l_b	11/16/2020 22:06:23.257	1	6	leg_knee	leg_knee
22	target_h1_5	11/16/2020 22:06:29.830	0	7	either	pinky

22	filler_a_l	11/16/2020 22:06:33.063	0	8	arm_shoulder	arm_shoulder
22	filler_b_b	11/16/2020 22:06:34.889	0	9	either	back
22	target_f1_4	11/16/2020 22:06:37.953	1	10	either	big_toe
22	filler_l_l	11/16/2020 22:06:40.766	0	11	either	leg_calf
22	target_h1_4	11/16/2020 22:06:42.798	1	12	either	thumb
23	target_h1_5	11/16/2020 22:47:41.125	0	1	either	thumb
24	target_h4_5	11/16/2020 22:49:42.697	1	1	either	ring_finger
24	target_h4_5	11/16/2020 22:49:43.185	1	1	either	ring_finger
24	target_h4_5	11/16/2020 22:49:43.378	1	1	either	ring_finger
24	target_f1_4	11/16/2020 22:50:00.289	1	2	either	ring_toe

24	target_f1_4	11/16/2020 22:50:00.544	1	2	either	ring_toe

24	filler_a_a	11/16/2020 22:50:03.733	0	3	either	arm_shoulder

24	filler_a_a	11/16/2020 22:50:03.949	0	3	either	arm_shoulder

24	target_f1_5	11/16/2020 22:50:08.484	1	4	either	pinky_toe

24	target_f1_5	11/16/2020 22:50:08.735	1	4	either	pinky_toe

24	filler_a_l	11/16/2020 22:50:12.477	0	5	arm_shoulder	arm_shoulder
24	filler_a_l	11/16/2020 22:50:12.687	0	5	arm_shoulder	arm_shoulder
24	filler_l_l	11/16/2020 22:50:16.510	1	6	either	leg_calf
24	filler_l_l	11/16/2020 22:50:16.745	1	6	either	leg_calf
24	filler_l_b	11/16/2020 22:50:22.085	0	7	leg_knee	leg_knee
24	target_h1_4	11/16/2020 22:50:25.235	1	8	either	thumb
24	filler_b_a	11/16/2020 22:50:29.545	0	9	back	back
24	target_h1_5	11/16/2020 22:50:35.895	1	10	either	pinky

24	filler_b_b	11/16/2020 22:50:38.343	0	11	either	back
24	target_f4_5	11/16/2020 22:50:42.075	0	12	either	ring_toe
25	target_h4_5	11/16/2020 23:24:40.508	1	1	either	ring_finger
25	target_h1_4	11/16/2020 23:24:45.219	0	2	either	ring_finger

25	target_f1_4	11/16/2020 23:25:00.006	1	3	either	ring_toe

25	filler_a_l	11/16/2020 23:25:07.497	0	4	arm_shoulder	arm_shoulder
25	target_f1_5	11/16/2020 23:25:14.878	1	5	either	big_toe
25	filler_l_l	11/16/2020 23:25:21.321	1	6	either	leg_calf
25	filler_l_b	11/16/2020 23:25:28.406	1	7	leg_knee	leg_knee
25	filler_b_a	11/16/2020 23:25:33.516	1	8	back	back
