"Timestamp"	"participant.id"	"Consent"	"Condition"	"Response"	"Normal_Utt_latinized_mixedcase"	"Normal_Utt_latinized_first"	"Normal_Utt_latinized"	"Normal_Utt"	"Normal_Utt_gloss"	"Back_translation"	"Specificity"	"Directionality"
"11/4/2020 18:08:03"	"f1d7b688d3889ee549e5862e"	"من موافقم"	"target_h5"	"انگشتانش"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:25:04"	"13af409db29215f5082915db"	"من موافقم"	"target_h5"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 4:01:08"	"008a1865d2b72985f6535a10"	"من موافقم"	"target_h5"	"انکشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:29:08"	"00bfc9d787a815d54d1b2951"	""	"target_f4"	"انگشت‌اش"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 0:30:05"	"9373a7bb674628f5bb89355e"	"من موافقم"	"target_h4"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:25:04"	"13af409db29215f5082915db"	"من موافقم"	"target_h4"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:29:08"	"00bfc9d787a815d54d1b2951"	"من موافقم"	"target_h4"	"انگشت‌اش"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:32:10"	"144d679652d424f5ea713bf6"	"من موافقم"	"target_h4"	"انگشتش"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 2:07:40"	"00d30a8710a046d51cf41f61"	"من موافقم"	"target_h4"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 3:18:07"	"00bb13293adbf2c5700d7710"	"من موافقم"	"target_h4"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 5:41:38"	"004b22750fd8a8d5849ea010"	"من موافقم"	"target_h4"	"پایین انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 17:30:48"	"93784488db1ad2e58096fb13"	"من موافقم"	"target_h4"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:25:04"	"13af409db29215f5082915db"	"من موافقم"	"target_h1"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/5/2020 1:29:08"	"00bfc9d787a815d54d1b2951"	"من موافقم"	"target_h1"	"انگشت"	"Angosht"	"angosht"	"āngusht"	"انگشت"	"finger"	"finger"	0	0
"11/4/2020 18:02:41"	"601091802ab8ffe5f149e80d"	"من موافقم"	"target_h1"	"انگشت بزرگ دست "	"Angoshte bozorge dast"	"angoshte bozorge dast"	"āngushte buzurge dast"	"انگشت بزرگ دست "	"big finger of the hand"	"thumb"	1	0
"11/4/2020 18:02:41"	"601091802ab8ffe5f149e80d"	"من موافقم"	"target_f1"	"انگشت بزرگ پا"	"Angoshte bozorge pa"	"angoshte bozorge pa"	"āngushte buzurge pā"	"انگشت بزرگ پا"	"big finger of the foot"	"big toe"	1	0
"11/4/2020 18:08:03"	"f1d7b688d3889ee549e5862e"	"من موافقم"	"target_f1"	"انگشت بزرگه پایش"	"Angoshte bozorge pa"	"angoshte bozorge pa"	"āngushte buzurge pā"	"انگشت بزرگ پا"	"big finger of the foot"	"big toe"	1	0
"11/4/2020 18:01:51"	"d0c4e5f7b68d88f5f1368e0a"	"من موافقم"	"target_h4"	"انگشت چهارم"	"Angoshte cheharam"	"angoshte cheharam"	"āngushte cheharām"	"انگشت چهارم"	"the fourth finger"	"ring finger"	1	0
"11/5/2020 2:07:40"	"00d30a8710a046d51cf41f61"	""	"target_f4"	"انگشت چهارم پا"	"Angoshte cheharam pa"	"angoshte cheharam pa"	"āngushte cheharām pā"	"انگشت چهارم پا"	"fourth finger of the foot"	"ring toe"	1	0
"11/5/2020 1:29:08"	"00bfc9d787a815d54d1b2951"	"من موافقم"	"target_h5"	"انگشت دستش"	"Angoshte dast"	"angoshte dast"	"āngushte dast"	"انگشت دستش"	"finger of the hand"	"finger"	0	0
"11/4/2020 17:59:49"	"006c3c4846f2c3d50cb20f61"	"من موافقم"	"target_h4"	"انگشت دست"	"Angoshte dast"	"angoshte dast"	"āngushte dast"	"انگشت دست"	"finger of the hand"	"finger"	0	0
"11/4/2020 18:02:41"	"601091802ab8ffe5f149e80d"	"من موافقم"	"target_h4"	"انگشت دست"	"Angoshte dast"	"angoshte dast"	"āngushte dast"	"انگشت دست"	"finger of the hand"	"finger"	0	0
"11/4/2020 18:08:03"	"f1d7b688d3889ee549e5862e"	"من موافقم"	"target_h4"	"انگشت دستش"	"Angoshte dast"	"angoshte dast"	"āngushte dast"	"انگشت دست"	"finger of the hand"	"finger"	0	0
