usernum	cond	timestamp	leftright	order	expected	choice
15	target_h4_5	10/20/2020 15:03:40.342	0.156721283522533	1	either	ring_finger
15	target_f1_4	10/20/2020 15:03:58.592	0.411675791562633	2	either	ring_toe

15	filler_b_b	10/20/2020 15:04:35.134	0.920060401157574	3	either	back_shoulder

15	filler_l_b	10/20/2020 15:04:45.786	0.0453327836739881	4	leg_knee	leg_knee
15	target_f4_5	10/20/2020 15:04:57.335	0.0312162538330121	5	either	ring_toe
15	filler_l_l	10/20/2020 15:09:30.824	0.783057749112235	6	either	leg_calf
15	target_h1_5	10/20/2020 15:09:31.645	0.433727542710589	7	either	thumb
15	filler_a_a	10/20/2020 15:09:32.478	0.806422941227542	8	either	arm_shoulder

15	target_f1_5	10/20/2020 15:09:33.081	0.618211041511135	9	either	big_toe
15	target_h1_4	10/20/2020 15:09:33.407	0.299538427339034	10	either	thumb
15	filler_a_l	10/20/2020 15:09:33.911	0.746819961424084	11	arm_shoulder	arm_shoulder
15	filler_b_a	10/20/2020 15:09:34.150	0.056144201736064	12	back	back
18	filler_b_b	10/20/2020 15:20:22.788	0.6497257846213	1	either	back
18	filler_b_a	10/20/2020 15:20:23.664	0.20133590915157	2	back	arm_elbow

18	target_f1_5	10/20/2020 15:20:24.624	0.106250528785498	3	either	big_toe
18	target_h4_5	10/20/2020 15:20:25.318	0.946537430239008	4	either	pinky

18	target_h1_4	10/20/2020 15:20:25.994	0.512015566536324	5	either	thumb
18	filler_a_a	10/20/2020 15:20:26.489	0.648970740688132	6	either	arm_elbow
18	target_f1_4	10/20/2020 15:20:27.037	0.553218318455951	7	either	big_toe
18	filler_l_b	10/20/2020 15:20:27.683	0.0975779179289056	8	leg_knee	leg_knee
18	target_h1_5	10/20/2020 15:20:28.308	0.0906956282715363	9	either	thumb
18	filler_a_l	10/20/2020 15:20:29.009	0.217330467728065	10	arm_shoulder	arm_shoulder
18	filler_l_l	10/20/2020 15:20:29.630	0.953184355356829	11	either	leg_calf
18	target_f4_5	10/20/2020 15:20:30.855	0.470534847424464	12	either	ring_toe
19	target_f1_5	10/20/2020 15:40:32.092	0.815322368945093	1	either	big_toe
19	filler_b_b	10/20/2020 15:40:35.683	0.547974175148742	2	either	back_shoulder

19	filler_l_l	10/20/2020 15:40:39.590	0.473562891203077	3	either	leg_calf
19	filler_a_l	10/20/2020 15:40:43.344	0.15795706266454	4	arm_shoulder	arm_shoulder
19	target_h4_5	10/20/2020 15:40:48.352	0.916287128887237	5	either	pinky

19	filler_l_b	10/20/2020 15:40:51.015	0.259992441701801	6	leg_knee	leg_knee
19	filler_b_a	10/20/2020 15:40:55.970	0.502044319481687	7	back	back
19	target_f4_5	10/20/2020 15:41:00.557	0.603971038087369	8	either	ring_toe
19	target_h1_4	10/20/2020 15:41:05.989	0.738303440696658	9	either	thumb
19	target_f1_4	10/20/2020 15:41:08.862	0.0964852579209072	10	either	big_toe
19	target_h1_5	10/20/2020 15:41:11.466	0.834679670705558	11	either	thumb
19	filler_a_a	10/20/2020 15:41:14.235	0.408838624906824	12	either	arm_elbow
20	target_f1_5	10/20/2020 15:43:31.250	0.650553733649762	1	either	big_toe
20	target_h1_5	10/20/2020 15:43:41.907	0.340379301066609	2	either	pinky

20	target_f4_5	10/20/2020 15:43:51.831	0.582363459588127	3	either	ring_toe
20	target_h1_4	10/20/2020 15:43:56.801	0.712611953335912	4	either	ring_finger

20	target_f1_4	10/20/2020 15:43:59.911	0.821835448573442	5	either	big_toe
20	filler_b_b	10/20/2020 15:44:05.181	0.0356243497963113	6	either	back
