"Timestamp"	"Prolific_ID"	"Consent"	"cond"	"response"	"Normal_Utt"	"Normal_Utt_latinized"	"Normal_Utt_gloss"	"Specificity"
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_f5"	"маленьком пальце ноги"	"маленький палец ноги"	"malen'kiĭ palets nogi"	"small finger of the leg"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_f4"	"безымянном пальце ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_h1"	"большом пальце (руки)"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
