usernum	cond	timestamp	leftright	order	expected	choice
191	target_f1_5	09/15/2021 16:37:39.296	0.188414555349485	1	either	big_toe
191	filler_b_a	09/15/2021 16:37:42.365	0.498089700778113	2	back	back
191	target_f1_4	09/15/2021 16:37:45.874	0.0445295980471236	3	either	ring_toe
191	filler_a_l	09/15/2021 16:37:48.756	0.289047072948055	4	arm	arm_shoulder
191	filler_l_b	09/15/2021 16:37:52.471	0.950994487227039	5	leg	leg_knee
191	target_h4_5	09/15/2021 16:37:55.835	0.242944841812463	6	either	ring_finger
191	target_h1_4	09/15/2021 16:37:58.266	0.981526472446607	7	either	ring_finger
191	filler_a_a	09/15/2021 16:38:03.683	0.300396800347702	8	either	arm_shoulder
191	target_f4_5	09/15/2021 16:38:07.440	0.691444808923737	9	either	pinky_toe
191	filler_l_l	09/15/2021 16:38:12.970	0.596574702606635	10	either	leg_calf
191	target_h1_5	09/15/2021 16:38:16.531	0.122149775344045	11	either	pinky
191	filler_b_b	09/15/2021 16:38:20.987	0.209636098313243	12	either	back_shoulder
192	target_h1_5	09/15/2021 16:38:43.131	0.828821543212147	1	either	pinky
192	target_f1_4	09/15/2021 16:38:48.732	0.691709767402248	2	either	ring_toe
192	filler_b_b	09/15/2021 16:38:52.028	0.900939867439778	3	either	back
192	filler_a_l	09/15/2021 16:38:56.440	0.976544621241377	4	arm	leg_calf
192	target_h1_4	09/15/2021 16:39:01.369	0.884029180816473	5	either	ring_finger
192	filler_a_a	09/15/2021 16:39:05.958	0.968968169138865	6	either	arm_shoulder
192	target_h4_5	09/15/2021 16:39:11.613	0.719065481172041	7	either	pinky
192	filler_l_l	09/15/2021 16:39:15.069	0.0885110800891233	8	either	leg_knee
192	target_f4_5	09/15/2021 16:39:18.707	0.269227813770161	9	either	pinky_toe
192	filler_b_a	09/15/2021 16:39:21.398	0.164523298692988	10	back	back
192	target_f1_5	09/15/2021 16:39:24.058	0.62643838588065	11	either	pinky_toe
192	filler_l_b	09/15/2021 16:39:26.800	0.210310792624117	12	leg	leg_knee
194	target_f4_5	09/15/2021 16:40:15.268	0.0987010468534244	1	either	ring_toe
194	filler_b_b	09/15/2021 16:40:20.372	0.313888225079612	2	either	back_shoulder
194	filler_a_a	09/15/2021 16:40:24.712	0.696333246844919	3	either	arm_elbow
194	filler_b_a	09/15/2021 16:40:28.930	0.153836721628071	4	back	back
194	target_f1_4	09/15/2021 16:40:32.334	0.436476267249422	5	either	ring_toe
194	target_h4_5	09/15/2021 16:40:36.729	0.67478861830114	6	either	ring_finger
194	target_h1_5	09/15/2021 16:40:40.814	0.348514634025381	7	either	thumb
194	filler_a_l	09/15/2021 16:40:44.967	0.639467788933874	8	arm	arm_shoulder
194	filler_l_l	09/15/2021 16:40:52.493	0.769165133898245	9	either	leg_knee
194	filler_l_b	09/15/2021 16:40:55.461	0.219181395209493	10	leg	leg_knee
194	target_f1_5	09/15/2021 16:41:00.002	0.219042135243402	11	either	pinky_toe
194	target_h1_4	09/15/2021 16:41:03.795	0.677186920381249	12	either	thumb
195	target_h1_4	09/15/2021 16:42:16.361	0.609059136201726	1	either	thumb
195	target_f1_4	09/15/2021 16:42:19.030	0.999481707885028	2	either	ring_toe
195	filler_a_l	09/15/2021 16:42:22.479	0.0155851229365034	3	arm	arm_shoulder
195	target_f1_5	09/15/2021 16:42:28.986	0.877116530741663	4	either	pinky_toe
195	target_f4_5	09/15/2021 16:42:32.114	0.375423520411463	5	either	ring_toe
195	filler_l_b	09/15/2021 16:42:34.636	0.963715549864904	6	leg	leg_knee
195	filler_b_b	09/15/2021 16:42:37.885	0.219954161745594	7	either	back
195	filler_l_l	09/15/2021 16:42:41.569	0.86038960128008	8	either	leg_calf
195	target_h1_5	09/15/2021 16:42:45.340	0.763393494141386	9	either	thumb
195	filler_b_a	09/15/2021 16:42:48.010	0.616276274741725	10	back	back
195	filler_a_a	09/15/2021 16:42:51.915	0.564101104465411	11	either	arm_shoulder
195	target_h4_5	09/15/2021 16:42:55.838	0.699692239360051	12	either	pinky
196	target_h4_5	09/15/2021 16:43:46.433	0.153485628384264	1	either	ring_finger
196	target_h1_5	09/15/2021 16:43:49.319	0.229851033612253	2	either	thumb
196	filler_l_b	09/15/2021 16:43:52.172	0.825716695356281	3	leg	leg_knee
196	filler_a_l	09/15/2021 16:43:54.348	0.0307718399717523	4	arm	arm_shoulder
196	filler_l_l	09/15/2021 16:43:58.257	0.433328811385767	5	either	leg_calf
196	filler_b_b	09/15/2021 16:44:01.727	0.81665783778681	6	either	back
196	target_f1_5	09/15/2021 16:44:04.329	0.453095877849595	7	either	big_toe
196	filler_a_a	09/15/2021 16:44:07.927	0.298945362287672	8	either	arm_shoulder
196	target_h1_4	09/15/2021 16:44:11.165	0.173609686157764	9	either	thumb
196	filler_b_a	09/15/2021 16:44:12.907	0.0812855175036056	10	back	back
196	target_f1_4	09/15/2021 16:44:16.004	0.606865127178938	11	either	big_toe
196	target_f4_5	09/15/2021 16:44:19.692	0.896065638008626	12	either	ring_toe
197	filler_b_a	09/15/2021 16:44:41.512	0.300100632784055	1	back	back
197	target_h1_4	09/15/2021 16:44:49.943	0.50338092989205	2	either	ring_finger
197	target_h4_5	09/15/2021 16:44:55.757	0.88579614630817	3	either	pinky
197	target_f1_4	09/15/2021 16:45:00.416	0.985659180748375	4	either	ring_toe
197	filler_b_b	09/15/2021 16:45:05.312	0.718262160503404	5	either	back_shoulder
197	filler_a_l	09/15/2021 16:45:08.390	0.204424709853814	6	arm	arm_shoulder
197	filler_a_a	09/15/2021 16:45:11.649	0.360985270775021	7	either	arm_elbow
197	filler_l_b	09/15/2021 16:45:14.712	0.203049462595121	8	leg	leg_knee
197	target_f4_5	09/15/2021 16:45:19.356	0.477599266291694	9	either	ring_toe
197	target_h1_5	09/15/2021 16:45:22.515	0.762910260194079	10	either	pinky
197	filler_l_l	09/15/2021 16:45:26.597	0.245192275689082	11	either	leg_knee
197	target_f1_5	09/15/2021 16:45:29.712	0.731945037915469	12	either	pinky_toe
200	filler_a_l	09/15/2021 16:47:28.157	0.558651924439804	1	arm	arm_shoulder
200	filler_l_b	09/15/2021 16:47:30.716	0.733325005349801	2	leg	leg_knee
200	filler_l_l	09/15/2021 16:47:39.012	0.533232921342464	3	either	leg_calf
200	target_f4_5	09/15/2021 16:47:45.169	0.811784202073799	4	either	ring_toe
200	filler_b_b	09/15/2021 16:47:48.416	0.582749215494008	5	either	back
200	target_f1_5	09/15/2021 16:47:54.631	0.567971559315087	6	either	pinky_toe
200	filler_a_a	09/15/2021 16:47:57.435	0.867156873996468	7	either	arm_shoulder
200	target_f1_4	09/15/2021 16:48:00.210	0.0656968861158056	8	either	ring_toe
200	filler_b_a	09/15/2021 16:48:02.212	0.415156260206462	9	back	back
200	target_h1_4	09/15/2021 16:48:05.713	0.609686509314091	10	either	ring_finger
200	target_h4_5	09/15/2021 16:48:09.783	0.716247903023945	11	either	pinky
200	target_h1_5	09/15/2021 16:48:11.558	0.351518759810464	12	either	pinky
202	target_f1_5	09/15/2021 16:48:46.371	0.7475241993825	1	either	big_toe
202	filler_l_l	09/15/2021 16:48:57.025	0.592750982687907	2	either	leg_calf
202	filler_l_b	09/15/2021 16:49:01.811	0.938087554489361	3	leg	leg_knee
202	target_h1_5	09/15/2021 16:49:12.691	0.482278543598117	4	either	pinky
202	filler_a_l	09/15/2021 16:49:16.248	0.828553173531876	5	arm	arm_shoulder
202	filler_a_a	09/15/2021 16:49:19.492	0.761932719339715	6	either	arm_shoulder
202	filler_b_a	09/15/2021 16:49:22.343	0.975936923016892	7	back	back
202	target_f1_4	09/15/2021 16:49:27.510	0.27267202579333	8	either	big_toe
202	target_h4_5	09/15/2021 16:49:31.347	0.832961534456448	9	either	pinky
202	filler_b_b	09/15/2021 16:49:35.288	0.437369195119576	10	either	back
202	target_f4_5	09/15/2021 16:49:42.800	0.332365353665413	11	either	pinky_toe
202	target_h1_4	09/15/2021 16:49:47.823	0.621501330359937	12	either	ring_finger
203	filler_a_a	09/15/2021 16:48:46.203	0.176163890938373	1	either	arm_shoulder
203	target_h1_5	09/15/2021 16:49:21.206	0.246224860268743	2	either	thumb
203	filler_b_b	09/15/2021 16:49:25.940	0.862703391424478	3	either	back
203	target_h4_5	09/15/2021 16:49:32.622	0.573469213982211	4	either	pinky
203	target_f1_4	09/15/2021 16:49:48.050	0.273798990602703	5	either	big_toe
203	filler_a_l	09/15/2021 16:49:50.450	0.762235931660147	6	arm	arm_shoulder
203	target_h1_4	09/15/2021 16:49:53.108	0.162788185830326	7	either	thumb
203	filler_a_l	09/15/2021 16:50:29.914	0.762235931660147	6	arm	arm_shoulder
203	target_h1_4	09/15/2021 16:50:31.535	0.354210535370843	7	either	thumb
203	filler_l_l	09/15/2021 16:50:36.045	0.398969626360671	8	either	leg_calf
203	filler_b_a	09/15/2021 16:50:38.155	0.952528443028317	9	back	back
203	filler_b_a	09/15/2021 16:50:52.417	0.952528443028317	9	back	back
203	target_f1_5	09/15/2021 16:50:54.312	0.257698591639386	10	either	big_toe
203	filler_l_b	09/15/2021 16:50:58.273	0.395150234996439	11	leg	leg_knee
203	filler_l_b	09/15/2021 16:51:17.441	0.395150234996439	11	leg	leg_knee
203	target_f4_5	09/15/2021 16:51:18.965	0.356265581985102	12	either	ring_toe
204	filler_l_b	09/15/2021 16:49:26.504	0.407742805852653	1	leg	leg_knee
204	target_h1_5	09/15/2021 16:49:36.024	0.425889174061926	2	either	pinky
204	target_f1_5	09/15/2021 16:49:45.042	0.564059326731698	3	either	big_toe
204	filler_a_a	09/15/2021 16:49:50.128	0.00849916723473498	4	either	arm_shoulder
