Timestamp,participant.id,Consent,Version,Target_H1_4,Filler_A_A,Target_F4_5,Filler_B_B,Filler_L_L,Target_F1_5,Filler_A_L,Filler_B_A,Target_F1_4,Target_H1_5,Filler_l_b,Target_H4_5
11/19/19 19:20,5b146e7bc85dc40001624518,Estoy de acuerdo.,1,4,4,4,4,4,4,1,1,4,4,1,4
11/19/19 19:20,5d08de125f6f010001d203bb,Estoy de acuerdo.,1,5,5,4,4,4,4,1,1,3,3,1,4
11/19/19 19:22,5c40fe3a72b87000013a5dd8,Estoy de acuerdo.,1,4,7,4,4,2,4,1,1,4,4,1,4
11/19/19 19:24,5d4cf30a9e88940001890258,Estoy de acuerdo.,1,7,4,4,2,4,4,1,1,4,4,1,4
11/19/19 19:25,5d9a74f72aae4c031a29af9b,Estoy de acuerdo.,1,5,6,4,4,5,4,1,1,4,3,1,4
11/19/19 19:25,5a14fb617ecfc50001be1ff9,Estoy de acuerdo.,1,4,3,4,1,6,4,1,1,4,4,1,4
11/19/19 19:25,5b044a6d72815200013eba92,Estoy de acuerdo.,1,4,4,4,4,4,4,1,1,4,4,1,4
11/19/19 19:26,5d8a98c6f62b5600194549a8,Estoy de acuerdo.,1,4,7,4,4,4,4,1,1,4,4,1,4
11/19/19 19:27,5bdf91dbb32fa800012ea282,Estoy de acuerdo.,1,4,1,4,4,5,4,1,1,4,4,1,4
11/19/19 19:27,5c05922f4e1b7b00016af702,Estoy de acuerdo.,1,2,4,4,3,3,4,1,1,4,6,1,4
11/19/19 19:28,5d7513fbad0dbc00010f8fa8,Estoy de acuerdo.,1,4,3,4,4,5,4,1,1,4,4,1,4
11/21/19 8:03,5bc2b61583de340001bf830f,Estoy de acuerdo.,1,4,1,4,4,4,4,1,1,4,4,7,4
