Timestamp,Prolific ID,Consent,Version,Target_H1_4,Filler_L_L,Target_F1_4,Filler_A_A,Filler_L_B,Target_F1_5,Filler_B_B,Target_H4_5,Target_F4_5,Filler_A_L,Target_H1_5,Filler_B_A
11/21/2019 11:06:51,5b294a477f78160001467095,Estoy de acuerdo.,2,4,4,4,4,7,4,4,4,4,7,4,7
11/21/2019 11:06:54,5c0b3ed0dd4e3000014fa565,Estoy de acuerdo.,2,3,2,1,7,1,1,1,6,7,7,1,7
11/21/2019 11:08:04,5d39535eff6a1a00018ecd7c,Estoy de acuerdo.,2,1,1,1,1,1,7,1,7,1,1,7,7
11/21/2019 11:09:16,5cfb07eecb76df0019f58d5c,Estoy de acuerdo.,2,1,4,3,7,7,1,1,7,7,5,4,7
11/21/2019 11:09:29,5d421d8c711c8c0016afbfa6,Estoy de acuerdo.,2,1,1,4,4,1,7,4,1,4,4,7,7
11/21/2019 11:09:36,5c43c8943526c80001fca34f,Estoy de acuerdo.,2,4,4,4,4,7,4,4,4,4,7,4,7
11/21/2019 11:10:05,5cf5fe247ce340001ac0bdd8,Estoy de acuerdo.,2,7,4,1,5,7,3,6,1,7,7,6,7
11/21/2019 11:10:17,5c13e9a2b2746e00012c4580,Estoy de acuerdo.,2,4,4,4,4,7,4,4,4,4,7,4,7
11/21/2019 11:10:26,5d4ccf580336af00187f5c33,Estoy de acuerdo.,2,2,1,7,1,7,1,7,7,6,1,1,7
11/21/2019 11:12:42,5d72923243376f0001c2d4f8,Estoy de acuerdo.,2,7,1,1,7,7,1,7,2,7,7,1,7
11/21/2019 11:12:46,5dd0764b1096ea161d8fa21c,Estoy de acuerdo.,2,1,4,7,4,7,1,4,1,4,7,7,7
11/21/2019 11:43:57,5c74da8b518e24001587904a,Estoy de acuerdo.,2,4,7,4,1,7,4,4,4,4,7,4,7
