,Language,digit,Normal_Utt_latinized,n
1,Arabic,thumb,alibham,1
29,Arabic,big_toe,alisbah_alakbar_liqadm,1
8,Arabic,ring_finger,alisbah_alkhutuba,1
50,Arabic,pinky_toe,alisbah_alsaghir_fi_alqadm,1
51,Arabic,pinky_toe,alisbah_alsaghir_liqadm,1
30,Arabic,big_toe,alisbah_ilkabir_fi_qadm,1
52,Arabic,pinky_toe,asghar_isbah_fi_alqadm,1
31,Arabic,big_toe,azfar_qadm,1
9,Arabic,ring_finger,binasr,7
17,Arabic,pinky_finger,binasr,1
42,Arabic,ring_toe,binasr,1
43,Arabic,ring_toe,binasr_rijul,2
2,Arabic,thumb,ibham,13
32,Arabic,big_toe,ibham,1
33,Arabic,big_toe,ibham_qadm,1
34,Arabic,big_toe,ibham_rijul,3
3,Arabic,thumb,ibham_yad,1
4,Arabic,thumb,isbah,4
10,Arabic,ring_finger,isbah,9
18,Arabic,pinky_finger,isbah,5
35,Arabic,big_toe,isbah,4
44,Arabic,ring_toe,isbah,3
53,Arabic,pinky_toe,isbah,4
19,Arabic,pinky_finger,isbah_alasghar,1
11,Arabic,ring_finger,isbah_albinasr,1
20,Arabic,pinky_finger,isbah_alkhunsur,1
36,Arabic,big_toe,isbah_alqadm,1
37,Arabic,big_toe,isbah_alrijul_alkabra,1
21,Arabic,pinky_finger,isbah_alsaghir,1
5,Arabic,thumb,isbah_alyad,1
12,Arabic,ring_finger,isbah_alyad,2
22,Arabic,pinky_finger,isbah_alyad,1
45,Arabic,ring_toe,isbah_qabl_alakhir_min_alqadm,1
38,Arabic,big_toe,isbah_qadm,6
46,Arabic,ring_toe,isbah_qadm,10
54,Arabic,pinky_toe,isbah_qadm,6
55,Arabic,pinky_toe,isbah_qadm_alsaghir,1
39,Arabic,big_toe,isbah_rijul,3
47,Arabic,ring_toe,isbah_rijul,7
56,Arabic,pinky_toe,isbah_rijul,5
40,Arabic,big_toe,isbah_rijul_alakbar,1
57,Arabic,pinky_toe,isbah_rijul_alasghir,2
41,Arabic,big_toe,isbah_rijul_alkabir,2
48,Arabic,ring_toe,isbah_rijul_alqabl_alakhir,1
58,Arabic,pinky_toe,isbah_rijul_alsaghir,3
13,Arabic,ring_finger,isbah_yad,2
23,Arabic,pinky_finger,isbah_yad,3
24,Arabic,pinky_finger,isbah_yad_alasghar,1
6,Arabic,thumb,isbah_yad_alkabir,1
14,Arabic,ring_finger,khunsur,2
25,Arabic,pinky_finger,khunsur,9
59,Arabic,pinky_toe,khunsur,1
60,Arabic,pinky_toe,khunsur_qadm,1
26,Arabic,pinky_finger,khunsur_yad,1
49,Arabic,ring_toe,rijul,1
15,Arabic,ring_finger,sababa_yad,1
27,Arabic,pinky_finger,sababa_yad,1
7,Arabic,thumb,yad,5
16,Arabic,ring_finger,yad,1
28,Arabic,pinky_finger,yad,1
75,English,pinky_toe,baby_toe,1
67,English,big_toe,big_toe,20
62,English,ring_finger,finger,4
64,English,pinky_finger,finger,3
69,English,ring_toe,fourth_toe,2
70,English,ring_toe,little_toe,1
76,English,pinky_toe,little_toe,6
65,English,pinky_finger,pinky,11
66,English,pinky_finger,pinky_finger,10
77,English,pinky_toe,pinky_toe,11
63,English,ring_finger,ring_finger,20
71,English,ring_toe,ring_toe,2
72,English,ring_toe,second_to_last_toe,4
73,English,ring_toe,small_toe,1
78,English,pinky_toe,smallest_toe,1
61,English,thumb,thumb,24
68,English,big_toe,toe,4
74,English,ring_toe,toe,14
79,English,pinky_toe,toe,5
80,Persian,thumb,angusht,2
87,Persian,ring_finger,angusht,8
93,Persian,pinky_finger,angusht,3
103,Persian,ring_toe,angusht,1
81,Persian,thumb,angushte_buzurge_dast,1
99,Persian,big_toe,angushte_buzurge_pa,2
88,Persian,ring_finger,angushte_cheharam,1
104,Persian,ring_toe,angushte_cheharam_pa,1
89,Persian,ring_finger,angushte_dast,7
94,Persian,pinky_finger,angushte_dast,1
105,Persian,ring_toe,angushte_dume_pa,1
90,Persian,ring_finger,angushte_halke,4
95,Persian,pinky_finger,angushte_kuchek,6
108,Persian,pinky_toe,angushte_kuchek,2
96,Persian,pinky_finger,angushte_kucheke_dast,11
109,Persian,pinky_toe,angushte_kucheke_pa,17
100,Persian,big_toe,angushte_pa,3
106,Persian,ring_toe,angushte_pa,19
110,Persian,pinky_toe,angushte_pa,4
97,Persian,pinky_finger,angushte_panj,1
82,Persian,thumb,angushte_shast,4
83,Persian,thumb,angushte_shaste_dast,2
101,Persian,big_toe,angushte_shaste_pa,4
107,Persian,ring_toe,angushte_yeki_muwande_beh_kucheke_pa,1
91,Persian,ring_finger,bande_angusht,1
84,Persian,thumb,dast,1
92,Persian,ring_finger,dast,2
98,Persian,pinky_finger,dast,1
85,Persian,thumb,shast,2
86,Persian,thumb,shaste_dast,11
